ds,yhat,yhat_lower,yhat_upper
2020-10-14,190.69110714631904,106.18726305273502,277.1440823784857
2020-10-15,203.2416680451384,119.28014146168472,290.14992789435274
2020-10-16,215.00758234991062,128.55197968435695,307.64960073740747
2020-10-17,219.3476679997567,128.48780017929104,300.47061124458867
2020-10-18,223.69243133239868,123.26726768093336,310.5761117243941
2020-10-19,229.86119663040878,136.80811082549826,311.08717561234073
2020-10-20,241.41383990974174,147.63478936245332,328.9181910720351
2020-10-21,254.45738636703288,162.37802362108292,342.5157259670707
2020-10-22,265.77322192305405,177.29384378157837,355.7314741099313
2020-10-23,275.98056734492013,183.2654287893086,360.42470787727797
2020-10-24,278.4449932249392,197.71703326990183,370.58765426488554
2020-10-25,280.60601219973194,186.69697064932134,366.8289589354976
2020-10-26,284.294198546535,198.65484550131035,380.9465793202778
2020-10-27,293.0829074629323,202.75255469393144,380.22189185180156
2020-10-28,303.09485126202173,215.8578299399906,385.6688330267959
2020-10-29,311.12928036788486,224.15530991539998,393.76861387140315
2020-10-30,317.8254147817869,230.74681730485892,409.02515589589734
2020-10-31,316.57090134369923,228.13849571875923,403.2362483635412
2020-11-01,314.8293302084214,228.77884212703373,413.24732630408386
2020-11-02,314.457257826459,228.98444821009593,399.4916672424252
2020-11-03,319.0558061377243,230.43828064161966,400.09266075486966
2020-11-04,324.7770929843732,234.5671240890914,406.2913368392805
2020-11-05,328.4512398906446,241.99478566670265,419.77536230545826
2020-11-06,330.74960173281227,241.11099705503838,420.9665265116195
2020-11-07,325.09299315498254,234.88825335720614,415.7150649254908
2020-11-08,318.9789454248666,230.32487052897054,407.02408455516223
2020-11-09,314.2984420875409,226.07369193856982,406.33635176476156
2020-11-10,314.68720500704785,233.4872640251468,406.5115598406174
2020-11-11,316.3317885026117,225.68840420448512,412.5124310931395
2020-11-12,316.0962312195022,228.6361471617539,404.50165704839736
2020-11-13,314.68491449924596,226.0037232218957,398.6376176577407
2020-11-14,305.5504070245976,219.33270330486818,389.65074026695567
2020-11-15,296.2203349453953,206.9256224632486,384.99170755517156
2020-11-16,288.6137318400142,203.890779082229,378.73548140398134
2020-11-17,286.391946462041,199.312868123304,371.6623792458351
2020-11-18,285.764372568601,202.85670572186007,374.9749403404897
2020-11-19,283.61475714746507,198.1893161691672,369.6671851919754
2020-11-20,280.6637424235763,195.49692956884465,373.71272134261517
2020-11-21,270.3764278291134,181.90428965658424,361.1678314103146
2020-11-22,260.2889971948621,171.93890079472158,349.7957123723455
2020-11-23,252.3248710751883,164.26306669863027,344.6119009326806
2020-11-24,250.1454670869627,158.70772374067255,340.09851277618367
2020-11-25,249.95583674519023,156.08526583245555,338.595340066163
2020-11-26,248.63093845134108,159.4153909937183,334.88745248721534
2020-11-27,246.87820442142464,156.56751912853989,336.47346545528575
2020-11-28,238.14518914519104,147.70256988173193,321.34500678006685
2020-11-29,229.94634499892504,141.74635438257008,315.2381340831229
2020-11-30,224.17938422048007,129.56851960215593,325.7928353073841
2020-12-01,224.47630835641712,140.26315244531023,313.3338284902051
2020-12-02,227.00937084354302,141.0802265533858,310.4484969775661
2020-12-03,228.61772855407867,142.16860986790277,311.3600193463733
2020-12-04,229.9704353175813,141.1576750001942,318.87955337379407
2020-12-05,224.47455936897808,132.62251554546546,312.15694745430073
2020-12-06,219.60246393001995,128.57072664488297,308.45692379978
2020-12-07,217.20870305299803,127.31095221395952,305.0440658326838
